Unnamed: 0,food_name,food_group,food_sub_group,serving_measure,Protein_amount,nutrient_unit,Total fat_amount,Carbohydrate_amount,Cholesterol_amount,Sodium_amount,Sugar_amount,Glycemic index_amount,Energy_amount
12,"Beef udon, soup","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (632g),24.52,g,15.8,,,,,,
13,"Beef, cooked in turmeric sauce, ginger, simmered (Malay)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (159.88g),28.47,g,10.65,,,,,,
14,"Beef, spicy, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (194.47g),34.23,g,14.78,,,,,,
15,"Birdnest, soaked","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Packet (32g),3.97,g,0,,,,,,
16,"Blood, in dark sauce, braised","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (160g),15.2,g,0.96,,,,,,
17,Boiled beef ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Whole (41g),5.54,g,2.95,,,,,,
18,Boiled crocodile meat,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (175g),53.55,g,18.38,,,,,,
19,Braised beef stomach,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (225g),38.93,g,27.23,,,,,,
20,Braised chicken rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),26.27,g,14.78,,,,,,
21,Braised duck tongue,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (81g),10.29,g,12.39,,,,,,
22,Braised small intestine,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (74.3g),11.15,g,6.02,,,,,,
23,Braised soya sauce chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (33.9g),6.34,g,4.68,,,,,,
24,Bubur terigu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (400g),4.4,g,3.2,,,,,,
25,Butterfly fritter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (57g),3.82,g,8.72,,,,,,
26,Cauliflower with potatoes and tomatoes,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (353g),4.59,g,19.77,,,,,,
27,Chai bei,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-rice (11and 1/2 cm) (195g),7.22,g,39.2,,,,,,
28,"Chick peas, with tomato and chilli, stir fried (Indian)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (124.86g),7.49,g,6.09,,,,,,
29,Chicken murtabak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (500g),36.0,g,32,,,,,,
30,Chicken pie,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (93g),8.93,g,18.14,,,,,,
31,"Chicken wing, with liver and gizzard, braised","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (282.83g),52.04,g,42.42,,,,,,
32,"Chicken, fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (316g),84.06,g,,,,,,,
33,"Chips, jackfruit","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (3.5g),0.14,g,0.53,,,,,,
34,"Chutney, mango","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (329g),1.97,g,5.26,,,,,,
35,Coconut mee chang kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (120g),6.12,g,7.68,,,,,,
36,"Coconut milk, fresh, second squeeze","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Cup (244.67g),1.71,g,25.2,,,,,,
37,Crab stick,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (16g),1.79,g,0.05,,,,,,
38,"Dahi Bhalla, deep-fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-23cm (533g),33.05,g,23.45,,,,,,
39,Deep fried baby sotong,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (221g),66.74,g,60.78,,,,,,
40,Deep fried soft shell crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (111g),11.66,g,17.21,,,,,,
41,"Dim sum, beancurd roll","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (33.33g),4.67,g,4.82,,,,,,
42,Dry prawn noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (345g),20.36,g,13.11,,,,,,
43,Duck porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (573g),56.73,g,17.19,,,,,,
44,"Duck, vegetarian, with mushrooms and preserved vegetables, canned","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Can (296g),22.2,g,8.58,,,,,,
45,Durian pudding,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (189g),5.67,g,8.32,,,,,,
46,Fish ball noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (775g),32.63,g,10.77,,,,,,
47,"Fish cracker, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (1.4g),0.11,g,0.34,,,,,,
48,Fish tikka,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (99g),22.87,g,3.76,,,,,,
49,"Fish, curry, prepared with yoghurt","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (283.48g),24.95,g,11.62,,,,,,
50,Fried crab ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (30g),3.84,g,1.32,,,,,,
51,Fried fish fillet with taucheo sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (102.37g),20.06,g,7.88,,,,,,
52,Fried khun neng fish,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Whole (76g),19.08,g,6.23,,,,,,
53,Fried mee siam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (450g),17.55,g,25.65,,,,,,
54,Fried pomfret in tomato and coconut sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (216.3g),12.11,g,19.68,,,,,,
55,"Frog, leg, with green onion, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (279g),36.27,g,25.95,,,,,,
56,"Gravy, mee siam","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bowl-soup (16 and 1/2 cm) (329g),6.25,g,6.91,,,,,,
57,Grilled spiced chicken,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (180g),36.72,g,22.68,,,,,,
58,Halwa,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),0.5,g,,,,,,,
59,Hong siew tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-20cm (120g),10.56,g,13.44,,,,,,
60,Hot and spicy beef noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (279g),19.36,g,4.32,,,,,,
61,Huat kueh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (80g),4.08,g,1.12,,,,,,
62,Indian stewed potato and peas,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (139.79g),4.47,g,,,,,,,
63,Japanese black pepper noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Packet (323g),23.9,g,14.86,,,,,,
64,"Juice drink, with aloe vera","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (250g),0.0,g,0,,,,,,
65,Kopi O siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),0.39,g,5.04,,,,,,
66,Kueh dodol,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (38g),0.97,g,5.23,,,,,,
67,Kueh talam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (130.66g),1.8,g,7.34,,,,,,
68,Lontong goreng,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-16cm (146.9g),10.65,g,,,,,,,
69,Makhani dal,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (204g),31.82,g,12.04,,,,,,
70,Mixed nut and ham mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),2.7,g,7.65,,,,,,
71,Nasi goreng sayur,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (430.1g),14.54,g,27.23,,,,,,
72,"Ngoh hiang, mixed items","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),2.28,g,3.75,,,,,,
73,"Omelette, oyster","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,1 portion (262g),18.6,g,51.09,,,,,,
74,"Paste, laksa, commercial","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (270g),27.81,g,85.05,,,,,,
75,"Peanut, battered, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-16cm (88g),13.38,g,17.95,,,,,,
76,"Peas, green, unbattered, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Cup (142g),28.49,g,19.6,,,,,,
77,Pig's stomach soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-rice (11and 1/2 cm) (312.94g),16.62,g,2.88,,,,,,
78,"Pig, ear, vegetarian, braised","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (104g),11.75,g,2.08,,,,,,
79,"Popcorn, caramel","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (140g),5.08,g,30.09,,,,,,
80,Pork porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (648g),19.44,g,15.55,,,,,,
81,"Pork satay, with satay sauce","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (29g),3.92,g,4.15,,,,,,
82,"Pork, with preserved vegetable, stir fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (50.47g),10.14,g,4.59,,,,,,
83,"Porridge, liver","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (545.55g),25.64,g,10.37,,,,,,
84,"Potato, carrot, cabbage, onion, spices, stewed (Indian)","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (164.75g),2.31,g,4.33,,,,,,
85,Prawn tempura udon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (616g),15.4,g,28.64,,,,,,
86,Pumpkin and sweet potato in sweetened coconut milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (30g),0.39,g,,,,,,,
87,Rainbow kueh lapis,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (69g),0.69,g,3.45,,,,,,
88,Sambal kangkong,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (300g),9.3,g,30.9,,,,,,
89,Satay sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Tablespoon (29g),1.65,g,6.47,,,,,,
90,"Sauce, chilli, nonya, steamed fish","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (236g),4.96,g,15.81,,,,,,
91,Sliced fish porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,1 portion (730g),25.55,g,5.77,,,,,,
92,Soto ayam,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (569g),19.35,g,,,,,,,
93,Stir fried ee fu noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (418.28g),25.47,g,31.33,,,,,,
94,"Stomach, in dark sauce, braised","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (108g),17.71,g,6.16,,,,,,
95,"Sushi, raw cockle","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (32g),2.7,g,0.16,,,,,,
96,"Sushi, salmon slice","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (34g),2.35,g,1.22,,,,,,
97,"Sushi, tuna salad","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (36g),2.68,g,2.66,,,,,,
98,Sweet potato porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (590g),5.9,g,1.41,,,,,,
99,Sze chaun hot and sour soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (360g),14.04,g,9,,,,,,
100,Tapioca fritter,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (49g),0.93,g,4.95,,,,,,
101,"Tea, bubble, passion fruit without pearl","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (372g),0.74,g,7.18,,,,,,
102,"Tempeh, with long beans and taukwa, stir fried, Malay style","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (172g),18.4,g,29.76,,,,,,
103,Thosai masala,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (225g),8.55,g,13.28,,,,,,
104,Tofu with minced pork and mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (126.97g),12.06,g,6.6,,,,,,
105,"Vadai, kacang dal kuning","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),6.2,g,8.85,,,,,,
106,Winter melon and pork ribs soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (564.2g),9.03,g,5.64,,,,,,
107,"Yong tau foo, pork skin, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (19g),2.78,g,1.78,,,,,,
108,fish ball tang hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (527g),11.86,g,2.16,,,,,,
1,Assam fish,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (183.6g),22.58,g,4.04,,,,,,
2,Ayam tempra,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (137.98g),22.5,g,18.34,,,,,,
3,Baked lotus paste mooncake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Slice (25g),16.2,g,4.33,,,,,,
4,Boiled clams with shells,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (774g),120.74,g,4.64,,,,,,
5,Braised chicken with sea cucumber,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-20cm (89.81g),10.67,g,9.18,,,,,,
6,Braised duck gizzards,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (47g),14.57,g,1.32,,,,,,
7,Braised mixed mushroom,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (80g),1.1,g,4.32,,,,,,
8,Braised pork rib noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (531g),32.66,g,25.12,,,,,,
9,Chendol,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Packet (368g),4.98,g,14.72,,,,,,
10,Chicken and mushroom noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (653g),28.73,g,6.53,,,,,,
11,Chicken pongteh,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (125.79g),15.72,g,15.51,,,,,,
12,Chilli crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (300g),33.9,g,25.5,,,,,,
13,"Chilli, green, pickled","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Teaspoon (7.1g),0.06,g,0.06,,,,,,
15,"Coconut cream, dried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Plate-16cm (80.6g),8.11,g,56.11,,,,,,
16,Curry eggplant,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (231g),4.87,g,19.4,,,,,,
17,"Curry puff, frozen, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (90g),9.63,g,19.62,,,,,,
18,"Curry, potato [DO NOT USE]","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-16cm (153.13g),28.64,g,59.58,,,,,,
19,"Cuttlefish ball, deep fried","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (30g),3.45,g,2.88,,,,,,
21,Deep fried carrot cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (130g),3.38,g,6.37,,,,,,
22,Dhansak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,1 portion (209g),19.33,g,9.15,,,,,,
23,Dried cuttlefish with hot peanut sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-16cm (71.1g),13.01,g,9.74,,,,,,
24,Durain dodol,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (14g),0.56,g,0.95,,,,,,
25,Egg foo yong,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Egg based dishes,Plate-23cm (256g),0.96,g,57.6,,,,,,
26,Fish and chips,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (268g),28.68,g,47.44,,,,,,
27,"Fish ball, boiled","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Whole (big) (24.67g),0.05,g,0.22,,,,,,
28,Fish tofu,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (16.4g),7.19,g,1.64,,,,,,
29,Fried bee hoon with chicken and egg,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (284g),21.3,g,10.93,,,,,,
30,Fried breaded cuttlefish ball,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Piece (35g),4.75,g,5.45,,,,,,
31,Fried cuttlefish with chilli powder,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (100g),14.8,g,3.0,,,,,,
32,Fried long beans with taucheo,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Plate-20cm (172.3g),6.72,g,6.55,,,,,,
34,Fried tofu in oyster sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Pulses based dishes,Plate-16cm (177.84g),17.87,g,15.45,,,,,,
35,Grass jelly drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Glass (250ml) (231g),4.75,g,0.0,,,,,,
36,"Gravy, laksa","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bowl-soup (16 and 1/2 cm) (326g),6.19,g,27.71,,,,,,
37,Gula merah (red sugar),"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Teaspoon (5g),0.01,g,0.0,,,,,,
38,"Ice jackfruit, with selashi","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-soup (16 and 1/2 cm) (331g),1.66,g,7.65,,,,,,
39,"Ikan merah, with ghee, onion, ginger in tomato gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-20cm (157g),22.61,g,8.01,,,,,,
40,Japanese mushroom noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Packet (307g),21.8,g,13.51,,,,,,
41,Kidney mee sua soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (578g),15.61,g,7.51,,,,,,
42,Kiwi juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (292g),1.17,g,1.46,,,,,,
43,Kopi C siu dai,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Cup (194g),2.52,g,2.33,,,,,,
44,Kueh pietee,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (37.1g),1.67,g,6.08,,,,,,
45,Kueh rose,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (10g),0.67,g,2.44,,,,,,
46,Lettuce drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (250g),1,g,0.0,,,,,,
47,Macaroni soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (487.47g),38.71,g,7.02,,,,,,
48,Malay style fried spicy prawn,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-rice (11and 1/2 cm) (84.66g),12.45,g,4.49,,,,,,
49,"Mee siam, without gravy","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (368g),15.46,g,19.87,,,,,,
50,Nasi daging,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (590g),37.17,g,19.47,,,,,,
51,Nasi minyak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (245g),7.11,g,10.05,,,,,,
52,Nasi tomato,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-20cm (267g),11.03,g,13.0,,,,,,
53,"Ngoh hiang, meat roll, bung bung","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Piece (72g),6.34,g,3.38,,,,,,
54,Noni fruit juice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (955g),5.73,g,0.96,,,,,,
55,Otak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (29g),3.84,g,1.86,,,,,,
56,"Oyster sauce, vegetarian","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (443g),9.75,g,0.44,,,,,,
57,"Paste, buah keluak","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Sauces, gravies and dressings",Bottle (232g),11.6,g,25.75,,,,,,
58,Peanut and pork porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (550g),22.72,g,18.21,,,,,,
60,Pineapple fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (300g),16.8,g,18.3,,,,,,
